,uid_x,domainID_x,siteID_x,namedLocation_x,collectDate_x,identifiedDate,sampleID,sampleCode_x,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooVolumePerBottle,zooSubsampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition_x,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF_x,publicationDate_x,release_x,uid_y,domainID_y,siteID_y,namedLocation_y,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,startDate,collectDate_y,eventID,boutNumber,sampleCode_y,sampleCondition_y,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,affectedByWind,samplerType,sampleNumber,towsTrapsNumber,towsTrapsVolume,zooDepth1,zooDepth2,zooDepth3,remarks,recordedBy,collectedBy,dataQF_y,publicationDate_y,release_y
1090,a05ca88a-2b1f-4399-96bd-af3692b982d2,D03,SUGG,SUGG.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,SUGG.20150218.SCHINDLER.1,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.575,0.625,0.594,,4,coarse,500.0,57.0,35.0,N,condition OK,Y,,"Pennak, 1989",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T235315Z,RELEASE-2024,45830c00-529d-42a1-8843-1442e0e45587,D03,SUGG,SUGG.AOS.buoy.c0,29.688149,-82.017318,10.0,10.0,WGS84,30.0,10,lake,2015-02-18T17:00Z,2015-02-18T17:00Z,SUGG.20150218,1,,,NEON.DOC.001194vC,,,,Schindler-Patalas,1,4.0,48.0,0.5,1.5,,,jeells@neoninc.org,cfoster@neoninc.org,legacyData,20231226T235315Z,RELEASE-2024
1100,60a39b7a-c458-46bf-9256-4597f5ba6c8d,D03,SUGG,SUGG.AOS.littoral1,2015-02-18T17:00Z,2015-07-17,SUGG.20150218.SCHINDLER.2,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.5,1.125,0.701,,34,coarse,500.0,104.0,164.0,N,condition OK,Y,,"Pennak, 1989",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T235315Z,RELEASE-2024,bed5fa68-f59f-48de-ac2e-6ded92aa5963,D03,SUGG,SUGG.AOS.littoral1,29.685093,-82.018412,1.1,10.0,WGS84,30.2,1,lake,2015-02-18T17:00Z,2015-02-18T17:00Z,SUGG.20150218,1,,,NEON.DOC.001194vC,,,,Schindler-Patalas,2,2.0,24.0,0.5,1.5,,,jeells@neoninc.org,cfoster@neoninc.org,legacyData,20231226T235315Z,RELEASE-2024
1114,1b3b710c-af6d-493a-b19b-a3886f15de13,D03,SUGG,SUGG.AOS.littoral2,2015-07-08T16:00Z,2016-08-19,SUGG.20150708.SCHINDLER.3,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,1.0,1.0,1.0,,2,coarse,,,,N,other (specified in remarks),N,,Pennak 1989,N,EcoAnalysts Inc.,,D. Drumm,Percent Subbed measured by weight not volume.;subsamplePercent = 0.34,,legacyData,20231226T233634Z,RELEASE-2024,f2c6c1e7-a1e9-4b3d-8140-4f1253f875ef,D03,SUGG,SUGG.AOS.littoral2,29.687601,-82.020598,1.1,10.0,WGS84,30.3,1,lake,2015-07-08T16:00Z,2015-07-08T16:00Z,SUGG.20150708,2,,,NEON.DOC.001194vD,,,,Schindler-Patalas,3,2.0,24.0,0.5,1.2,,,echartrand@field-ops.org,cfoster@neoninc.org,legacyData,20231226T233634Z,RELEASE-2024
1121,a922c09f-ee6f-4de6-ad72-8b80cad42f07,D03,SUGG,SUGG.AOS.buoy.c0,2015-07-08T16:00Z,2017-08-18,SUGG.20150708.SCHINDLER.1,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.66,1.04,0.88,0.572,11,coarse,,,,N,other (specified in remarks),Y,,Pennak 1989,N,EcoAnalysts Inc.,,D. Drumm,Percent Subbed measured by weight not volume. 4 specimens in too poor of condition to measure;subsamplePercent = 0.27,,legacyData,20231226T233634Z,RELEASE-2024,de5deebf-9975-4eff-9c58-7e8f0cf55579,D03,SUGG,SUGG.AOS.buoy.c0,29.688149,-82.017318,10.0,10.0,WGS84,30.0,10,lake,2015-07-08T16:00Z,2015-07-08T16:00Z,SUGG.20150708,2,,,NEON.DOC.001194vD,,,,Schindler-Patalas,1,2.0,24.0,0.5,1.5,,,echartrand@field-ops.org,cfoster@neoninc.org,legacyData,20231226T233634Z,RELEASE-2024
1137,1049f465-0723-43a2-bff1-bb688e843f32,D03,SUGG,SUGG.AOS.littoral1,2015-07-08T16:00Z,2016-08-18,SUGG.20150708.SCHINDLER.2,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.65,0.7,0.675,,3,coarse,,,,N,other (specified in remarks),N,,Pennak 1989,Y,EcoAnalysts Inc.,,D. Drumm,Percent Subbed measured by weight not volume. 1 in poor condition; not measured; length;subsamplePercent = 0.4,,legacyData,20231226T233634Z,RELEASE-2024,e85f6a47-1ef2-4182-9561-8fa7c60df163,D03,SUGG,SUGG.AOS.littoral1,29.685093,-82.018412,1.1,10.0,WGS84,30.2,1,lake,2015-07-08T16:00Z,2015-07-08T16:00Z,SUGG.20150708,2,,,NEON.DOC.001194vD,,,,Schindler-Patalas,2,2.0,24.0,0.5,1.3,,,echartrand@field-ops.org,cfoster@neoninc.org,legacyData,20231226T233634Z,RELEASE-2024
1149,36210b0a-f70a-4697-b380-ec4e232ea148,D03,SUGG,SUGG.AOS.littoral1,2015-11-10T17:00Z,2016-11-09,SUGG.20151110.SCHINDLER.2,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.675,0.9,0.758,,3,coarse,480.0,24.0,60.0,N,condition OK,N,,Pennak 1989,N,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 5,,legacyData,20231226T234959Z,RELEASE-2024,3a79f29d-0d18-4214-8350-7ffdda830173,D03,SUGG,SUGG.AOS.littoral1,29.685093,-82.018412,1.1,10.0,WGS84,30.2,1,lake,2015-11-10T17:00Z,2015-11-10T17:00Z,SUGG.20151110,3,,,NEON.DOC.001194vD,,,,Schindler-Patalas,2,2.0,24.0,0.5,0.5,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20231226T234959Z,RELEASE-2024
1154,42d69475-fb84-4792-845d-800dbffa9f79,D03,SUGG,SUGG.AOS.buoy.c0,2015-11-10T17:00Z,2016-11-09,SUGG.20151110.SCHINDLER.1,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.5,0.95,0.7,,5,coarse,500.0,25.0,100.0,N,condition OK,Y,,Pennak 1989,N,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 5,,legacyData,20231226T234959Z,RELEASE-2024,4f56073d-2366-4949-a9d7-537de75fb163,D03,SUGG,SUGG.AOS.buoy.c0,29.688149,-82.017318,10.0,10.0,WGS84,30.0,10,lake,2015-11-10T17:00Z,2015-11-10T17:00Z,SUGG.20151110,3,,,NEON.DOC.001194vD,,,,Schindler-Patalas,1,2.0,24.0,0.5,0.5,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20231226T234959Z,RELEASE-2024
1156,201bf6a3-4d0a-40a9-a160-012acddb8494,D03,SUGG,SUGG.AOS.littoral2,2015-11-10T17:00Z,2017-11-09,SUGG.20151110.SCHINDLER.3,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.425,0.6,0.512,,2,coarse,520.0,26.0,40.0,N,condition OK,N,,Pennak 1989,N,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 5,,legacyData,20231226T234959Z,RELEASE-2024,d2df500b-83f5-4566-8639-f3f3aa0534b0,D03,SUGG,SUGG.AOS.littoral2,29.687601,-82.020598,1.1,10.0,WGS84,30.3,1,lake,2015-11-10T17:00Z,2015-11-10T17:00Z,SUGG.20151110,3,,,NEON.DOC.001194vD,,,,Schindler-Patalas,3,2.0,24.0,0.5,0.5,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20231226T234959Z,RELEASE-2024
1184,7a659aa2-6a70-4226-a7ad-ce8908bb8066,D03,SUGG,SUGG.AOS.littoral1,2016-02-12T17:00Z,2016-11-09,SUGG.20160212.SCHINDLER.2,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.5,1.05,0.743,,14,coarse,390.0,137.0,40.0,N,condition OK,N,,Pennak 1989,Y,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 35,,legacyData,20231227T021220Z,RELEASE-2024,a0feca23-0677-4670-89ee-e13a144a1c17,D03,SUGG,SUGG.AOS.littoral1,29.685093,-82.018412,1.1,10.0,WGS84,30.2,1,lake,2016-02-12T17:00Z,2016-02-12T17:00Z,SUGG.20160212,1,,,NEON.DOC.001194vE,,,,Schindler-Patalas,2,2.0,24.0,0.5,1.3,,,tburlingame@neoninc.org,ksandusky@neoninc.org,legacyData,20231227T021220Z,RELEASE-2024
1200,37a50a70-98da-4d28-b4b7-51e0352ae1ef,D03,SUGG,SUGG.AOS.buoy.c0,2016-02-12T17:00Z,2016-11-09,SUGG.20160212.SCHINDLER.1,,,,CERSP19,Y,Ceriodaphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.325,0.35,0.338,,2,coarse,280.0,98.0,6.0,N,condition OK,Y,,Pennak 1989,N,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 35,,legacyData,20231227T021220Z,RELEASE-2024,b66a3953-d149-40a0-a729-44b753beb175,D03,SUGG,SUGG.AOS.buoy.c0,29.688149,-82.017318,10.0,10.0,WGS84,30.0,10,lake,2016-02-12T17:00Z,2016-02-12T17:00Z,SUGG.20160212,1,,,NEON.DOC.001194vE,,,,Schindler-Patalas,1,3.0,36.0,0.5,1.1,1.8,,tburlingame@neoninc.org,ksandusky@neoninc.org,legacyData,20231227T021220Z,RELEASE-2024
1206,badf1687-e533-4816-a166-31c2de155352,D03,SUGG,SUGG.AOS.littoral2,2016-02-12T17:00Z,2016-11-09,SUGG.20160212.SCHINDLER.3,,,,CERSP19,Y,Ceriodaphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.4,0.4,0.4,,1,coarse,210.0,105.0,2.0,N,condition OK,N,,Pennak 1989,N,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 50,,legacyData,20231227T021220Z,RELEASE-2024,40bb5325-c514-4105-93c9-635a1694c10a,D03,SUGG,SUGG.AOS.littoral2,29.687601,-82.020598,1.1,10.0,WGS84,30.3,1,lake,2016-02-12T17:00Z,2016-02-12T17:00Z,SUGG.20160212,1,,,NEON.DOC.001194vE,,,,Schindler-Patalas,3,2.0,24.0,0.5,1.4,,,tburlingame@neoninc.org,ksandusky@neoninc.org,legacyData,20231227T021220Z,RELEASE-2024
1209,71b77533-8566-4d9f-9fc3-d6082ed1b869,D03,SUGG,SUGG.AOS.buoy.c0,2016-02-12T17:00Z,2016-11-09,SUGG.20160212.SCHINDLER.1,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.5,1.0,0.742,,10,coarse,280.0,98.0,29.0,N,condition OK,N,,Pennak 1989,N,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 35,,legacyData,20231227T021220Z,RELEASE-2024,b66a3953-d149-40a0-a729-44b753beb175,D03,SUGG,SUGG.AOS.buoy.c0,29.688149,-82.017318,10.0,10.0,WGS84,30.0,10,lake,2016-02-12T17:00Z,2016-02-12T17:00Z,SUGG.20160212,1,,,NEON.DOC.001194vE,,,,Schindler-Patalas,1,3.0,36.0,0.5,1.1,1.8,,tburlingame@neoninc.org,ksandusky@neoninc.org,legacyData,20231227T021220Z,RELEASE-2024
1224,964d97d9-7882-4b91-8559-12af0f1f0643,D03,SUGG,SUGG.AOS.littoral2,2016-02-12T17:00Z,2016-11-09,SUGG.20160212.SCHINDLER.3,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.425,1.225,0.802,,11,coarse,210.0,105.0,22.0,N,condition OK,N,,Pennak 1989,N,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 50,,legacyData,20231227T021220Z,RELEASE-2024,40bb5325-c514-4105-93c9-635a1694c10a,D03,SUGG,SUGG.AOS.littoral2,29.687601,-82.020598,1.1,10.0,WGS84,30.3,1,lake,2016-02-12T17:00Z,2016-02-12T17:00Z,SUGG.20160212,1,,,NEON.DOC.001194vE,,,,Schindler-Patalas,3,2.0,24.0,0.5,1.4,,,tburlingame@neoninc.org,ksandusky@neoninc.org,legacyData,20231227T021220Z,RELEASE-2024
1247,8a8b489f-2b43-40d3-9fa1-bcbb91a05a8c,D03,SUGG,SUGG.AOS.littoral2,2016-02-12T17:00Z,2016-11-09,SUGG.20160212.SCHINDLER.3,,,,SIMSER,Y,Simocephalus serrulatus,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.825,0.825,0.825,,1,coarse,210.0,105.0,2.0,N,condition OK,Y,,Pennak 1989,N,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 50,,legacyData,20231227T021220Z,RELEASE-2024,40bb5325-c514-4105-93c9-635a1694c10a,D03,SUGG,SUGG.AOS.littoral2,29.687601,-82.020598,1.1,10.0,WGS84,30.3,1,lake,2016-02-12T17:00Z,2016-02-12T17:00Z,SUGG.20160212,1,,,NEON.DOC.001194vE,,,,Schindler-Patalas,3,2.0,24.0,0.5,1.4,,,tburlingame@neoninc.org,ksandusky@neoninc.org,legacyData,20231227T021220Z,RELEASE-2024
1279,c68f2f93-b6fb-40de-a81e-f986bb509c0b,D03,SUGG,SUGG.AOS.buoy.c0,2016-07-05T16:00Z,2017-02-28,SUGG.20160705.SCHINDLERPATALAS.1,,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.5,1.05,0.738,,56,coarse,230.0,12.0,1120.0,N,condition OK,N,,Pennak 1989,N,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 5,,legacyData,20231227T015215Z,RELEASE-2024,25b78a93-5ace-4fe3-bca1-d73a26ee3b61,D03,SUGG,SUGG.AOS.buoy.c0,29.688149,-82.017318,10.0,10.0,WGS84,30.0,10,lake,2016-07-05T16:00Z,2016-07-05T16:00Z,SUGG.20160705,2,,,NEON.DOC.001194vE,,,,Schindler-Patalas,1,3.0,36.0,0.5,0.7,1.9,sample depth 1.85m,ksandusky@neoninc.org,echartrand@neoninc.org,legacyData,20231227T015215Z,RELEASE-2024
