uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooVolumePerBottle,zooSubsampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF,publicationDate,release
8f4ae8ae-0961-4fc5-b6d5-d79fe99e25fe,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,COPSP,Y,Copepoda sp.,nauplii,subclass,Arthropoda,Crustacea,Maxillopoda,,Copepoda,"","","","",,"",,,"",Y,0.088,0.238,0.162,,213,coarse,1000,32,6665,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
161e2374-2027-41aa-9711-bc6b2886c1f5,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,CALSP1,Y,Calanoida sp.,copepodites,order,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,"",,"",,,"",N,0.375,0.85,0.565,,224,coarse,1000,32,7009,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
9d96f00a-48d5-4154-835d-f98616511a11,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LEPSP32,Y,Lepadella sp.,"",genus,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lepadellidae,,,"",N,0.062,0.062,0.062,,4,coarse,1000,114,35,N,condition OK,Y,,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
5e7a3c06-4fca-49aa-9223-e1c05627ebb8,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,CALSP1,Y,Calanoida sp.,"",order,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,"",,"",,,"",N,0.875,0.875,0.875,,1,coarse,1000,114,9,Y,condition OK,Y,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
e3dbea00-078d-42a1-abcb-953b817d0ab3,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,OXYSP3,Y,Oxyurella sp.,"",genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,"","",Diplostraca,Anomopoda,,Chydoridae,,,"",N,0.3,0.3,0.3,,2,coarse,1000,114,18,N,condition OK,Y,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
57c5e6ba-3a2f-44c7-a342-8c590ca00e6a,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LECINE,Y,Lecane inermis,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.125,0.125,0.125,,1,coarse,1000,114,9,N,condition OK,Y,,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
39e45096-2464-4fc4-8749-ccba9e82a512,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,MONBUL,Y,Monostyla bulla,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.112,0.112,0.112,,2,coarse,1000,32,63,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
ba2e62bf-066d-4f08-85bc-716ab1bc403c,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,SKIMIS,Y,Skistodiaptomus mississippiensis,"",species,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,"",,Diaptomidae,,,"",N,0.85,1,0.902,,10,coarse,1000,13,743,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
5f825793-f3f0-4878-a3ea-baa4c14994fb,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,CALSP1,Y,Calanoida sp.,copepodites,order,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,"",,"",,,"",N,0.55,0.875,0.725,,215,coarse,1000,13,15985,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
18c186d8-fab0-49a7-826b-a182bba852d3,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,COPSP,Y,Copepoda sp.,nauplii,subclass,Arthropoda,Crustacea,Maxillopoda,,Copepoda,"","","","",,"",,,"",Y,0.075,0.25,0.165,,108,coarse,1000,13,8030,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
ce9a1936-2d64-45a6-abc5-6c3b86e12435,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,CYCSP,Y,Cyclopoida sp.,copepodites,order,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,"",,"",,,"",N,0.35,0.425,0.388,,7,coarse,1000,32,219,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
6ae7e2ae-0903-4e50-ac76-cb35814b4fdc,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,TRISIM,Y,Trichocerca similis,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Trichocercidae,,,"",N,0.125,0.125,0.125,,3,coarse,1000,13,223,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
105badf3-a304-4e05-af0c-50386c7f1d9e,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,LECMIR,Y,Lecane mira,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.112,0.112,0.112,,1,coarse,1000,32,31,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
0b2380e4-949c-4408-975b-b3e4dbd4896c,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,ROTSP,Y,Rotifera sp.,"",phylum,Rotifera,"","",,"","","","","",,"",,,"",N,0.262,0.375,0.308,,29,coarse,1000,114,255,N,condition OK,Y,,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
991e0f22-0cb9-4c74-bf16-b7ed68819adc,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,MACSP4,Y,Macrothricidae sp.,"",family,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,"","",Diplostraca,Anomopoda,,Macrothricidae,,,"",N,0.35,0.375,0.362,,4,coarse,1000,114,35,N,condition OK,Y,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
be375e10-7314-4ce6-a411-7de54fc0d6cd,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,TROPRA1,Y,Tropocyclops prasinus mexicanus,"",subspecies,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,"",,Cyclopidae,,,mexicanus,N,0.35,0.412,0.396,,10,coarse,1000,114,88,N,condition OK,Y,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
317f8ef3-42dc-4619-9f15-4f2f3c31d130,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,MONBUL,Y,Monostyla bulla,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.112,0.112,0.112,,93,coarse,1000,114,818,N,condition OK,Y,,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
4bec0e53-8392-4a49-a2b2-42ff3fe902df,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,LECINE,Y,Lecane inermis,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.125,0.125,0.125,,4,coarse,1000,32,125,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
911b112b-2559-4b9d-b84c-f79356ab472e,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,COPSP,Y,Copepoda sp.,nauplii,subclass,Arthropoda,Crustacea,Maxillopoda,,Copepoda,"","","","",,"",,,"",Y,0.15,0.188,0.173,,45,coarse,1000,114,396,N,condition OK,Y,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
a81546b3-3f49-489d-a1f0-b2aa4fe41759,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,CHYSPH,Y,Chydorus sphaericus,"",species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,"","",Diplostraca,Anomopoda,,Chydoridae,,,"",N,0.225,0.275,0.25,,4,coarse,1000,114,35,N,condition OK,Y,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
2b456aea-bace-42ba-99e5-8800c83648a2,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,CYCSP,Y,Cyclopoida sp.,copepodites,order,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,"",,"",,,"",N,0.425,0.575,0.5,,22,coarse,1000,114,193,N,condition OK,Y,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
ee7e24b4-ba1e-4f49-8fb0-838dd79431d2,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,ROTSP,Y,Rotifera sp.,"",phylum,Rotifera,"","",,"","","","","",,"",,,"",N,0.188,0.212,0.196,,3,coarse,1000,32,94,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
360d95a4-2165-4194-b3b0-463dec7c54f6,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LECMIR,Y,Lecane mira,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.112,0.112,0.112,,1,coarse,1000,114,9,N,condition OK,Y,,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
dadab91f-a7ca-440d-9cfa-77c3f646036a,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,TRISIM,Y,Trichocerca similis,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Trichocercidae,,,"",N,0.125,0.125,0.125,,6,coarse,1000,32,188,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
d75b5904-2a41-4d9e-b82f-cc256f9ce6c2,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LATOCC1,Y,Latonopsis occidentalis,"",species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,"","",Diplostraca,Ctenopoda,,Sididae,,,"",N,0.55,0.55,0.55,,1,coarse,1000,114,9,N,condition OK,Y,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
b9411113-bc6b-49aa-b728-57c24a2b82e3,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,HESAUG,Y,Hesperodiaptomus augustaensis,"",species,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,"",,Diaptomidae,,,"",N,0.9,1.075,1.021,,28,coarse,1000,32,876,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
a6708be3-b6d6-4838-a6a7-af4690f851c7,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,LECMIR,Y,Lecane mira,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.112,0.112,0.112,,4,coarse,1000,13,297,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
49cb7427-c15c-45fc-9237-ad9f5fc9090a,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.1,,,,TROPRA1,Y,Tropocyclops prasinus mexicanus,"",subspecies,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,"",,Cyclopidae,,,mexicanus,N,0.45,0.55,0.518,,7,coarse,500,88,40,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
ff157a50-a46c-4f55-942c-307b926a4de0,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,MONBUL,Y,Monostyla bulla,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.112,0.112,0.112,,10,coarse,500,500,10,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
c48ceae2-ad8c-4e9a-a388-1039c2533ca2,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.1,,,,LEPSP32,Y,Lepadella sp.,"",genus,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lepadellidae,,,"",N,,,,,3,coarse,500,88,17,N,"damaged, affecting measurement",Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,lost; not measured,,legacyData,20231226T235337Z,RELEASE-2024
7c458723-1532-45bf-8e1f-9509f78ade55,D03,BARC,BARC.AOS.littoral1,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.2,,,,GASSTY,Y,Gastropus stylifer,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Gastropodidae,,,"",N,0.1,0.112,0.103,,114,coarse,500,116,492,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
0cbb3aef-cdce-483a-8e72-3a40862bef28,D03,BARC,BARC.AOS.littoral1,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.2,,,,BDESP,Y,Bdelloidea sp.,"",subclass,Rotifera,"",Bdelloidea,,Bdelloidea,"","","","",,"",,,"",N,0.162,0.188,0.186,,26,coarse,500,116,112,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
bcd18f4c-379f-4ed5-8042-f7008455e52e,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.1,,,,GASSTY,Y,Gastropus stylifer,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Gastropodidae,,,"",N,0.1,0.112,0.105,,84,coarse,500,88,480,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
f0bcebbd-7386-4c33-ac5c-9c02814d6841,D03,BARC,BARC.AOS.littoral1,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.2,,,,TROPRA1,Y,Tropocyclops prasinus mexicanus,"",subspecies,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,"",,Cyclopidae,,,mexicanus,N,0.475,0.55,0.506,,4,coarse,500,116,17,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
058aa7a2-af96-4cc9-bb79-467f2f3e2a38,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.1,,,,LECSP1,Y,Lecane sp.,"",genus,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.138,0.15,0.139,,20,coarse,500,88,114,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
5c336f15-4e54-4cfc-83a8-cd3200807e1d,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,CYCSP,Y,Cyclopoida sp.,copepodites,order,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,"",,"",,,"",N,0.225,0.5,0.328,,60,coarse,500,500,60,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
e458ad3d-ae16-4c77-84cc-4bb8353eb468,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,CALSP1,Y,Calanoida sp.,copepodites,order,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,"",,"",,,"",N,0.4,0.55,0.492,,9,coarse,500,500,9,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,6 damaged; not measured,,legacyData,20231226T235337Z,RELEASE-2024
