name,pubCode,description,startDate,endDate
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,2022-12-31T00:00:00Z
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,
"samplingImpractical","safety hazard","unsafe conditions at sampling location or on route to sampling location",2012-01-01T00:00:00Z,
"samplingImpractical","outside target flow range","selected when stream flow already has good coverage and specific flows are being targeted",2022-03-01T00:00:00Z,
"samplingImpractical","onshore protocols only","sampling not required when only onshore protocols are scheduled",2012-01-01T00:00:00Z,
"samplingImpractical","night fishing","sampling not required when night fishing",2012-01-01T00:00:00Z,
"samplingImpractical","obstruction","sample not collected due to an obstruction in sampling area",2012-01-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
"zoo.sampleCondition","condition OK","condition OK",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting taxonomy","damaged, affecting taxonomy",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting measurement","damaged, affecting measurement",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting taxonomy and measurement","damaged, affecting taxonomy and measurement",2012-01-01T00:00:00Z,
"zoo.sampleCondition","sample leakage","sample leakage",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting taxonomy","damaged, affecting taxonomy",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting measurement","damaged, affecting measurement",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting taxonomy and measurement","damaged, affecting taxonomy and measurement",2012-01-01T00:00:00Z,
"zoo.sampleCondition","sample leakage","sample leakage",2012-01-01T00:00:00Z,
"zoo.sampleCondition","other (specified in remarks)","other (specified in remarks)",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting analysis","damaged, affecting analysis",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"zoo.sampleCondition","damaged, affecting taxonomy","damaged, affecting taxonomy",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"zoo.sampleCondition","damaged, affecting measurement","damaged, affecting measurement",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"zoo.sampleCondition","damaged, affecting taxonomy and measurement","damaged, affecting taxonomy and measurement",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"zoo.samplerType","tow net","Vertical tow net with 64 um mesh",2012-01-01T00:00:00Z,
"zoo.samplerType","Schindler-Patalas","Schindler-Patalas trap, plexiglass with 64 um mesh",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vA","NEON.DOC.001194vA",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vB","NEON.DOC.001194vB",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vC","NEON.DOC.001194vC",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vD","NEON.DOC.001194vD",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vE","NEON.DOC.001194vE",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vF","NEON.DOC.001194vF",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vG","NEON.DOC.001194vG",2017-12-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vH","NEON.DOC.001194vH",2018-11-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vJ","NEON.DOC.001194vJ",2018-11-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vK","NEON.DOC.001194vK",2022-01-01T00:00:00Z,
"zoo.subsampleFractionType","coarse","coarse = crustacean",2012-01-01T00:00:00Z,
"zoo.subsampleFractionType","fine","fine = rotifer",2012-01-01T00:00:00Z,
"zoo.subsampleFractionType","none","subsample not split by size",2012-01-01T00:00:00Z,
"zoo.taxonDatabaseName","ITIS","Integrated Taxonomic Information System (itis.gov)",2012-01-01T00:00:00Z,
"zoo.taxonDatabaseName","other (specified in remarks)","other (specified in remarks)",2012-01-01T00:00:00Z,
"zoo.testProtocolVersion","EcoAnalysts STANDARD OPERATING PROCEDURES - ZOOPLANKTON","EcoAnalysts STANDARD OPERATING PROCEDURES - ZOOPLANKTON",2012-01-01T00:00:00Z,2017-01-01T00:00:00Z
"zoo.testProtocolVersion","Zooplankton_SOP_WatersEdge Scientific","Zooplankton_SOP_WatersEdge Scientific",2012-01-01T00:00:00Z,2017-02-01T00:00:00Z
"zoo.testProtocolVersion","Draft GEI SOP for NEON Zooplankton Identification v13","Draft GEI SOP for NEON Zooplankton Identification v13",2012-01-01T00:00:00Z,2017-02-01T00:00:00Z
"zoo.testProtocolVersion","GEI_Zooplankton_Identification_Revision5","GEI_Zooplankton_Identification_Revision5",2012-01-01T00:00:00Z,2017-01-01T00:00:00Z
"zoo.testProtocolVersion","ECOANALYSTS_Zooplankton_Identification_Revision2","ECOANALYSTS_Zooplankton_Identification_Revision2",2012-01-01T00:00:00Z,2020-08-31T00:00:00Z
"zoo.testProtocolVersion","RHITHRON_Zooplankton_Identification_Revision1","RHITHRON_Zooplankton_Identification_Revision1",2012-01-01T00:00:00Z,
"zoo.testProtocolVersion","ECOANALYSTS_Zooplankton_Identification_Revision3","ECOANALYSTS_Zooplankton_Identification_Revision3",2020-07-01T00:00:00Z,
