uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,startDate,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,affectedByWind,samplerType,sampleNumber,towsTrapsNumber,towsTrapsVolume,zooDepth1,zooDepth2,zooDepth3,remarks,recordedBy,collectedBy,dataQF,publicationDate,release
a4c133fb-efd5-41b7-93e3-df790a392b64,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2015-07-01T16:00Z,2015-07-01T16:00Z,BARC.20150701,2,BARC.20150701.TOW.1,,,NEON.DOC.001194vD,,,,tow net,1,3,766.5,3.5,3.5,3.5,"",ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20231226T232535Z,RELEASE-2024
46a3c223-6cd7-44f1-8427-f1f0802c64ff,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2015-07-01T16:00Z,2015-07-01T16:00Z,BARC.20150701,2,BARC.20150701.SCHINDLER.2,,,NEON.DOC.001194vD,,,,Schindler-Patalas,2,3,36,0.5,1.3,2,"",ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20231226T232535Z,RELEASE-2024
2bdc0e7b-41c8-434b-a5b3-9da07c2c03dc,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2015-11-05T17:00Z,2015-11-05T17:00Z,BARC.20151105,3,BARC.20151105.TOW.1,,,NEON.DOC.001194vD,,,,tow net,1,3,985.5,4.5,4.5,4.5,,tburlingame@neoninc.org,ksandusky@neoninc.org,legacyData,20231226T233633Z,RELEASE-2024
ff03590c-0461-4151-ac25-c08423a3e4bf,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2015-11-05T17:00Z,2015-11-05T17:00Z,BARC.20151105,3,BARC.20151105.SCHINDLER.3,,,NEON.DOC.001194vD,,,,Schindler-Patalas,3,2,24,0.5,0.7,,,tburlingame@neoninc.org,ksandusky@neoninc.org,legacyData,20231226T233633Z,RELEASE-2024
24b49510-0430-46a1-8dd0-fbd4aba4ac0e,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2015-11-05T17:00Z,2015-11-05T17:00Z,BARC.20151105,3,BARC.20151105.TOW.2,,,NEON.DOC.001194vD,,,,tow net,2,3,657,3,3,3,,tburlingame@neoninc.org,ksandusky@neoninc.org,legacyData,20231226T233633Z,RELEASE-2024
a6141e40-51bf-4425-95eb-cf750d5395c2,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2016-02-19T17:00Z,2016-02-19T17:00Z,BARC.20160219,1,BARC.20160219.SCHINDLER.2,,,NEON.DOC.001194vE,,,,Schindler-Patalas,2,2,24,0.5,1.2,,,ksandusky@neoninc.org,echartrand@neoninc.org,legacyData,20231227T013756Z,RELEASE-2024
632a7fca-0dd9-4496-a272-e795a20b014a,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2016-02-19T17:00Z,2016-02-19T17:00Z,BARC.20160219,1,BARC.20160219.TOW.1,,,NEON.DOC.001194vE,,,,tow net,1,2,715.4,4.9,4.9,,,ksandusky@neoninc.org,echartrand@neoninc.org,legacyData,20231227T013756Z,RELEASE-2024
846e88ea-60b1-435c-8f02-f8cac41f4793,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2016-02-19T17:00Z,2016-02-19T17:00Z,BARC.20160219,1,BARC.20160219.SCHINDLER.3,,,NEON.DOC.001194vE,,,,Schindler-Patalas,3,2,24,0.5,0.8,,,ksandusky@neoninc.org,echartrand@neoninc.org,legacyData,20231227T013756Z,RELEASE-2024
ec76d00b-c955-4943-bc6f-a34701cfb174,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2016-07-06T16:00Z,2016-07-06T16:00Z,BARC.20160706,2,BARC.20160706.SCHINDLERPATALAS.3,,,NEON.DOC.001194vE,,,,Schindler-Patalas,3,2,24,0.5,0.9,,,ksandusky@neoninc.org,echartrand@neoninc.org,legacyData,20231227T012724Z,RELEASE-2024
20c6751b-339b-437e-b4f4-30ee783a7140,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2016-07-06T16:00Z,2016-07-06T16:00Z,BARC.20160706,2,BARC.20160706.TOWNET.1,,,NEON.DOC.001194vE,,,,tow net,1,2,686.2,4.7,4.7,,,ksandusky@neoninc.org,echartrand@neoninc.org,legacyData,20231227T012724Z,RELEASE-2024
0403a18d-61fe-45ad-9d24-76d1224c6c8b,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2016-07-06T16:00Z,2016-07-06T16:00Z,BARC.20160706,2,BARC.20160706.SCHINDLERPATALAS.2,,,NEON.DOC.001194vE,,,,Schindler-Patalas,2,2,24,0.5,1,,,ksandusky@neoninc.org,echartrand@neoninc.org,legacyData,20231227T012724Z,RELEASE-2024
5b84a729-ddca-4094-97f6-cd43bdfa3d80,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2016-11-01T16:00Z,2016-11-01T16:00Z,BARC.20161101,3,BARC.20161101.SCHINDLER.3,,,NEON.DOC.001194vE,,,,Schindler-Patalas,3,2,24,0.5,0.6,,"",Echartrand@neoninc.org,Cproia@field-ops.org,legacyData,20231227T021712Z,RELEASE-2024
c54e3b78-d196-47e0-884e-7d05750ffc52,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2016-11-01T16:00Z,2016-11-01T16:00Z,BARC.20161101,3,BARC.20161101.TOWNET.1,,,NEON.DOC.001194vE,,,,tow net,1,2,788.4,5.4,5.4,,2 Bottles,Echartrand@neoninc.org,Cproia@field-ops.org,legacyData,20231227T021712Z,RELEASE-2024
eeb53104-ba91-4698-9d66-cf20ec72ca8c,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2016-11-01T16:00Z,2016-11-01T16:00Z,BARC.20161101,3,BARC.20161101.SCHINDLER.2,,,NEON.DOC.001194vE,,,,Schindler-Patalas,2,2,24,0.5,0.8,,"",Echartrand@neoninc.org,Cproia@field-ops.org,legacyData,20231227T021712Z,RELEASE-2024
a5077051-9ba8-4073-ad81-8c9167fc9388,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2017-02-27T17:00Z,2017-02-27T17:00Z,BARC.20170227,1,BARC.20170207.SCHINDLER.3,,,NEON.DOC.001194vF,,,,Schindler-Patalas,3,2,24,0.5,0.5,,,echartrand@neoninc.org,kludwig@field-ops.org,legacyData,20231227T033242Z,RELEASE-2024
c7ce62a0-1ea3-46c3-b561-c737304c00ba,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2017-02-27T17:00Z,2017-02-27T17:00Z,BARC.20170227,1,BARC.20170207.TOWNET.1,,,NEON.DOC.001194vF,,,,tow net,1,4,934.4,3.2,3.2,3.2,,echartrand@neoninc.org,kludwig@field-ops.org,legacyData,20231227T033242Z,RELEASE-2024
a2d4ce55-2fbd-41c4-88fd-8532a4f37b6a,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2017-02-27T17:00Z,2017-02-27T17:00Z,BARC.20170227,1,BARC.20170207.SCHINDLER.2,,,NEON.DOC.001194vF,,,,Schindler-Patalas,2,2,24,0.5,0.5,,,echartrand@neoninc.org,kludwig@field-ops.org,legacyData,20231227T033242Z,RELEASE-2024
5948eb94-a737-496f-a87a-a7b908d367e7,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2017-06-28T12:16Z,2017-06-28T12:16Z,BARC.20170628,2,BARC.20170628.TOWNET.1,,,NEON.DOC.001194vE,,,,tow net,1,2,642.4,4.4,4.4,,,kludwig@field-ops.org,echartrand@neoninc.org,,20231227T054916Z,RELEASE-2024
7fddf4fe-473b-4f13-b43f-72dc8a7501fe,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2017-06-28T12:16Z,2017-06-28T12:16Z,BARC.20170628,2,BARC.20170628.SCHINDLER.3,,,NEON.DOC.001194vE,,,,Schindler-Patalas,3,2,24,0.5,0.5,,,kludwig@field-ops.org,echartrand@neoninc.org,,20231227T054916Z,RELEASE-2024
47760b92-c869-4f2a-b24e-06c6caba8005,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2017-06-28T12:16Z,2017-06-28T12:16Z,BARC.20170628,2,BARC.20170628.SCHINDLER.2,,,NEON.DOC.001194vE,,,,Schindler-Patalas,2,2,24,0.5,0.7,,,kludwig@field-ops.org,echartrand@neoninc.org,,20231227T054916Z,RELEASE-2024
fd53e138-ec2a-47ea-8ea7-472d3aa7471b,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2017-10-31T16:07Z,2017-10-31T16:07Z,BARC.20171031,3,BARC.20171031.TOWNET.1,,,NEON.DOC.001194vF,,,,tow net,1,2,840.96,5.8,5.8,,,jcampbell@field-ops.org,kludwig@field-ops.org,,20231227T042625Z,RELEASE-2024
631bd847-c707-4fdf-8464-9a2e4a207cd5,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2017-10-31T16:07Z,2017-10-31T16:07Z,BARC.20171031,3,BARC.20171031.SCHINDLER.3,,,NEON.DOC.001194vF,,,,Schindler-Patalas,3,3,36,0.5,1.1,1.7,,jcampbell@field-ops.org,kludwig@field-ops.org,,20231227T042625Z,RELEASE-2024
e62bd53a-bc9d-485a-8cc6-29331055b105,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2017-10-31T16:07Z,2017-10-31T16:07Z,BARC.20171031,3,BARC.20171031.SCHINDLER.2,,,NEON.DOC.001194vF,,,,Schindler-Patalas,2,3,36,0.5,1.3,2.1,,jcampbell@field-ops.org,kludwig@field-ops.org,,20231227T042625Z,RELEASE-2024
87f7adb7-6e8d-4f6e-abb3-4ec9e6e8ffa4,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2018-02-14T15:41Z,2018-02-14T15:41Z,BARC.20180214,1,BARC.20180214.SCHINDLER.2,,,NEON.DOC.001194vG,,,,Schindler-Patalas,2,3,36,0.5,1.2,1.9,,kludwig@field-ops.org,ahugi@battelleecology.org,,20231228T203014Z,RELEASE-2024
8113952d-e3ef-4e6f-9a2d-d218e560a9ac,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2018-02-14T15:41Z,2018-02-14T15:41Z,BARC.20180214,1,BARC.20180214.SCHINDLER.3,,,NEON.DOC.001194vG,,,,Schindler-Patalas,3,3,36,0.5,1.4,2.3,,kludwig@field-ops.org,ahugi@battelleecology.org,,20231228T203014Z,RELEASE-2024
725f2715-8589-4061-a484-fccb89206666,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2018-02-14T15:41Z,2018-02-14T15:41Z,BARC.20180214,1,BARC.20180214.TOWNET.1,,,NEON.DOC.001194vG,,,,tow net,1,2,715.4,4.9,4.9,,,kludwig@field-ops.org,ahugi@battelleecology.org,,20231228T203014Z,RELEASE-2024
ea48be44-7ba5-487a-8dc7-101b8625485f,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2018-07-09T12:56Z,2018-07-09T12:56Z,BARC.20180709,2,BARC.20180709.TOWNET.1,A00000003464,,NEON.DOC.001194vG,,,,tow net,1,1,373.76,5.1,,,Nozzle lost during second tow. Sample includes only 1 tow.,kludwig@battelleecology.org,kkelley@battelleecology.org,,20231228T182911Z,RELEASE-2024
5503e7dd-0150-4076-820d-4c7454fc6b72,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2018-07-09T12:56Z,2018-07-09T12:56Z,BARC.20180709,2,BARC.20180709.SCHINDLER.2,A00000003468,,NEON.DOC.001194vG,,,,Schindler-Patalas,2,3,36,0.5,1.3,2,"",kludwig@battelleecology.org,kkelley@battelleecology.org,,20231228T182911Z,RELEASE-2024
f027bc38-61cf-4552-9607-4ea7874ba33c,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2018-07-09T12:56Z,2018-07-09T12:56Z,BARC.20180709,2,BARC.20180709.SCHINDLER.3,A00000003466,,NEON.DOC.001194vG,,,,Schindler-Patalas,3,3,36,0.5,1.2,2,2 bottles,kludwig@battelleecology.org,kkelley@battelleecology.org,,20231228T182911Z,RELEASE-2024
5d304d7e-14d3-4e3d-9952-bf803e6eee4e,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2018-10-30T14:45Z,2018-10-30T14:45Z,BARC.20181030,3,BARC.20181030.TOWNET.3,A00000036765,,NEON.DOC.001194vG,,,,tow net,3,2,465.74,3.2,3.2,,,kkelley@battelleecology.org,kross@BattelleEcology.org,,20231228T175045Z,RELEASE-2024
b97f91f9-bc37-4c5c-9431-be532b38ee52,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2018-10-30T14:45Z,2018-10-30T14:45Z,BARC.20181030,3,BARC.20181030.TOWNET.2,A00000036761,,NEON.DOC.001194vG,,,,tow net,2,2,433.62,3,3,,,kkelley@battelleecology.org,kross@BattelleEcology.org,,20231228T175045Z,RELEASE-2024
aa832d33-c2dd-446a-95af-fe44aa87d533,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2018-10-30T14:45Z,2018-10-30T14:45Z,BARC.20181030,3,BARC.20181030.TOWNET.1,A00000036763,,NEON.DOC.001194vG,,,,tow net,1,2,801.54,5.5,5.5,,,kkelley@battelleecology.org,kross@BattelleEcology.org,,20231228T175045Z,RELEASE-2024
980f3d63-e516-457a-8b7a-030312ca5014,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2019-02-15T15:02Z,2019-02-15T15:02Z,BARC.20190215,1,BARC.20190215.TOWNET.2,A00000037203,,NEON.DOC.001194vD,,,,tow net,2,2,613.2,4.2,4.2,,,kross@BattelleEcology.org,fsanchez@battelleecology.org,,20231227T172523Z,RELEASE-2024
b079ad08-1a0d-48c4-8624-2df371c5d59b,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2019-02-15T15:02Z,2019-02-15T15:02Z,BARC.20190215,1,BARC.20190215.TOWNET.1,A00000037205,,NEON.DOC.001194vD,,,,tow net,1,2,978.2,6.7,6.7,,,kross@BattelleEcology.org,fsanchez@battelleecology.org,,20231227T172523Z,RELEASE-2024
59c7319e-c364-40c0-8c75-a13891df263c,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2019-02-15T15:02Z,2019-02-15T15:02Z,BARC.20190215,1,BARC.20190215.TOWNET.3,A00000037178,,NEON.DOC.001194vD,,,,tow net,3,2,613.2,4.2,4.2,,,kross@BattelleEcology.org,fsanchez@battelleecology.org,,20231227T172523Z,RELEASE-2024
7433f6f7-204c-4f30-ad38-0d37dd52cccf,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2019-07-09T15:57Z,2019-07-09T15:57Z,BARC.20190709,2,BARC.20190709.TOWNET.1,A00000037804,,NEON.DOC.001194vF,,,,tow net,1,2,949,6.5,6.5,,,0000-0002-4570-7750,0000-0002-7940-8177,,20231227T172327Z,RELEASE-2024
96d245cd-0fcd-4bf6-b0eb-5fcef28fc2a4,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2019-07-09T15:57Z,2019-07-09T15:57Z,BARC.20190709,2,BARC.20190709.TOWNET.3,A00000037806,,NEON.DOC.001194vF,,,,tow net,3,2,511,3.5,3.5,,,0000-0002-4570-7750,0000-0002-7940-8177,,20231227T172327Z,RELEASE-2024
430d3330-ea7a-4451-bad9-f2f5b0ce70f8,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2019-07-09T15:57Z,2019-07-09T15:57Z,BARC.20190709,2,BARC.20190709.TOWNET.2,A00000037805,,NEON.DOC.001194vF,,,,tow net,2,2,547.5,3.8,3.8,,,0000-0002-4570-7750,0000-0002-7940-8177,,20231227T172327Z,RELEASE-2024
8f8e8467-a241-4454-9b70-0a57877a8fc8,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2019-10-29T12:22Z,2019-10-29T12:22Z,BARC.20191029,3,BARC.20191029.SCHINDLER.2,A00000128901,,NEON.DOC.001194vH,,,,Schindler-Patalas,2,3,36,0.5,1.7,3.3,,0000-0001-6607-7236,0000-0002-7940-8177,,20231227T191549Z,RELEASE-2024
9131daa2-2d54-4e97-800c-231251978517,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2019-10-29T12:22Z,2019-10-29T12:22Z,BARC.20191029,3,BARC.20191029.TOWNET.1,A00000128899,,NEON.DOC.001194vH,,,,tow net,1,2,876,6,6,,,0000-0001-6607-7236,0000-0002-7940-8177,,20231227T191549Z,RELEASE-2024
431fd89a-5d10-4189-80f2-d8fd556eb427,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2019-10-29T12:22Z,2019-10-29T12:22Z,BARC.20191029,3,BARC.20191029.SCHINDLER.3,A00000075714,,NEON.DOC.001194vH,,,,Schindler-Patalas,3,2,24,0.5,1.5,,,0000-0001-6607-7236,0000-0002-7940-8177,,20231227T191549Z,RELEASE-2024
c4f21b33-59a2-4a1d-a31c-143e1aa65293,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2020-02-11T15:49Z,2020-02-11T15:49Z,BARC.20200211,1,BARC.20200211.SCHINDLER.2,A00000075517,,NEON.DOC.001194vJ,,OK - no known exceptions,,Schindler-Patalas,2,3,36,0.5,1.3,2.2,,0000-0002-7940-8177,0000-0001-6607-7236,,20231227T215135Z,RELEASE-2024
abc2d58a-b3b9-4fe2-a850-12cdd655afe6,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2020-02-11T15:49Z,2020-02-11T15:49Z,BARC.20200211,1,BARC.20200211.SCHINDLER.3,A00000075519,,NEON.DOC.001194vJ,,OK - no known exceptions,,Schindler-Patalas,3,2,24,0.5,1.5,,,0000-0002-7940-8177,0000-0001-6607-7236,,20231227T215135Z,RELEASE-2024
03cb4dec-c0d9-481e-8e5f-342a667d98c3,D03,BARC,BARC.AOS.buoy.c1,29.675982,-82.008414,10,10,WGS84,27,10,lake,2020-02-11T15:49Z,2020-02-11T15:49Z,BARC.20200211,1,BARC.20200211.TOWNET.1,A00000075521,,NEON.DOC.001194vJ,,OK - no known exceptions,,tow net,1,2,365,0.5,4.5,,,0000-0002-7940-8177,0000-0001-6607-7236,,20231227T215135Z,RELEASE-2024
835a36b4-ba28-4c81-aa82-348397205896,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2020-07-06T14:55Z,2020-07-06T14:55Z,BARC.20200706,2,BARC.20200706.TOWNET.3,A00000131369,,NEON.DOC.001194vD,,OK - no known exceptions,N,tow net,3,2,657,4.5,4.5,,,0000-0001-6607-7236,0000-0002-7940-8177,,20231227T205121Z,RELEASE-2024
703d8c64-f1e6-45d3-80e6-25503a6d0f17,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2020-07-06T14:55Z,2020-07-06T14:55Z,BARC.20200706,2,BARC.20200706.SCHINDLER.1,A00000131366,,NEON.DOC.001194vD,,OK - no known exceptions,N,Schindler-Patalas,1,3,36,0.5,1.6,1.8,,0000-0001-6607-7236,0000-0002-7940-8177,,20231227T205121Z,RELEASE-2024
c66198d1-f583-4873-bbc0-f3a041afa1aa,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2020-07-06T14:55Z,2020-07-06T14:55Z,BARC.20200706,2,BARC.20200706.SCHINDLER.2,A00000131368,,NEON.DOC.001194vD,,OK - no known exceptions,N,Schindler-Patalas,2,2,24,0.5,1.5,,,0000-0001-6607-7236,0000-0002-7940-8177,,20231227T205121Z,RELEASE-2024
1c42b6df-38d8-4f93-89c2-4227aed03be9,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2020-10-27T13:43Z,2020-10-27T13:43Z,BARC.20201027,3,BARC.20201027.TOWNET.1,A00000131695,,NEON.DOC.001194vD,,OK - no known exceptions,N,tow net,1,2,607.36,4.2,4.2,,,0000-0001-6607-7236,0000-0003-1571-3196,,20231227T223509Z,RELEASE-2024
c285ec53-2125-4d46-bfe1-e8f1cdfb6861,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2020-10-27T13:43Z,2020-10-27T13:43Z,BARC.20201027,3,BARC.20201027.SCHINDLER.3,A00000131694,,NEON.DOC.001194vD,,OK - no known exceptions,N,Schindler-Patalas,3,2,24,0.5,1.6,,,0000-0001-6607-7236,0000-0003-1571-3196,,20231227T223509Z,RELEASE-2024
962616fb-8a84-4285-9e97-3bea60c5616f,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2020-10-27T13:43Z,2020-10-27T13:43Z,BARC.20201027,3,BARC.20201027.SCHINDLER.2,A00000131693,,NEON.DOC.001194vD,,OK - no known exceptions,N,Schindler-Patalas,2,3,36,0.5,1.2,2.3,,0000-0001-6607-7236,0000-0003-1571-3196,,20231227T223509Z,RELEASE-2024
