uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooVolumePerBottle,zooSubsampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF,publicationDate,release
ce4ae0e1-70cf-4b3d-86e3-75e32f70d636,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LEPSP32,Y,Lepadella sp.,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lepadellidae,,,,N,0.062,0.062,0.062,,4,coarse,1000,114,35,N,condition OK,Y,58488,ITIS,,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
4ebdbeb6-f779-4096-ad57-e712e1a5c7a7,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LATOCC1,Y,Latonopsis occidentalis,"",,Arthropoda,,Branchiopoda,,,,,Diplostraca,,,Sididae,,,,N,0.55,0.55,0.55,,1,coarse,1000,114,9,N,condition OK,Y,83870,ITIS,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
3596d0d5-e9ed-4600-96e7-6aaaf45c3bb4,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,SKIMIS,Y,Skistodiaptomus mississippiensis,"",,Arthropoda,,Maxillopoda,,,,,Calanoida,,,Diaptomidae,,,,N,0.85,1,0.902,,10,coarse,1000,13,743,N,condition OK,Y,666977,ITIS,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
c0e6d289-5b19-4720-bfba-c0053ba692fa,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,ACRHAR,Y,Acroperus harpae,"",,Arthropoda,,Branchiopoda,,,,,Diplostraca,,,Chydoridae,,,,N,0.55,0.575,0.556,,6,coarse,1000,114,53,N,condition OK,Y,,"",,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
180c77a9-7254-45ef-b589-ab5995110124,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,CALSP1,Y,Calanoida sp.,copepodites,,Arthropoda,,Maxillopoda,,,,,Calanoida,,,"",,,,N,0.55,0.875,0.725,,215,coarse,1000,13,15985,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
214eea29-4811-4e8c-ad74-0bf84b20329a,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LECMIR,Y,Lecane mira,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.112,0.112,0.112,,1,coarse,1000,114,9,N,condition OK,Y,58639,ITIS,,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
f2150cbf-c425-44b2-9ff1-0c617836cedc,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,CYCSP,Y,Cyclopoida sp.,copepodites,,Arthropoda,,Maxillopoda,,,,,Cyclopoida,,,"",,,,N,0.35,0.425,0.388,,7,coarse,1000,32,219,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
f16addef-7fa0-46f8-8ee3-fafaccef1298,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,COPSP,Y,Copepoda sp.,nauplii,,Arthropoda,,Maxillopoda,,,,,"",,,"",,,,Y,0.075,0.25,0.165,,108,coarse,1000,13,8030,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
6d22994f-ad6f-46b5-bb5b-d5ab3a26a5c5,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,DIPPRO,Y,Dipleuchlanis propatula,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Euchlanidae,,,,N,0.188,0.188,0.188,,1,coarse,1000,32,31,N,condition OK,Y,,"",,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
697c5271-e8bb-4160-914f-8c1024e55618,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,CALSP1,Y,Calanoida sp.,copepodites,,Arthropoda,,Maxillopoda,,,,,Calanoida,,,"",,,,N,0.375,0.85,0.565,,224,coarse,1000,32,7009,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
a0678f64-6c33-4df6-8580-00e49e103817,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,MONBUL,Y,Monostyla bulla,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.112,0.112,0.112,,2,coarse,1000,32,63,N,condition OK,Y,,"",,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
cb5c6cba-57ba-4adb-9400-17a0685998f9,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,MONBUL,Y,Monostyla bulla,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.112,0.112,0.112,,1,coarse,1000,13,74,N,condition OK,Y,,"",,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
ff5fe70b-636c-4f61-8a01-3d25f38faf44,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,CYCSP,Y,Cyclopoida sp.,copepodites,,Arthropoda,,Maxillopoda,,,,,Cyclopoida,,,"",,,,N,0.425,0.575,0.5,,22,coarse,1000,114,193,N,condition OK,Y,,"",,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
d8180635-b3ca-4e2e-858e-8f859740a5a2,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LECINE,Y,Lecane inermis,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.125,0.125,0.125,,1,coarse,1000,114,9,N,condition OK,Y,,"",,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
160e5bb7-d8be-43dd-9086-f8b534edb820,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,COPSP,Y,Copepoda sp.,nauplii,,Arthropoda,,Maxillopoda,,,,,"",,,"",,,,Y,0.088,0.238,0.162,,213,coarse,1000,32,6665,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
5149e4a3-b806-430b-aa12-d60cb2bad683,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,MONBUL,Y,Monostyla bulla,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.112,0.112,0.112,,93,coarse,1000,114,818,N,condition OK,Y,,"",,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
62a95fa8-55f9-49d8-805c-091ff8bb3df9,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.1,,,,CALSP1,Y,Calanoida sp.,copepodites,,Arthropoda,,Maxillopoda,,,,,Calanoida,,,"",,,,N,0.425,0.9,0.602,,72,coarse,500,88,411,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
41a9a36d-e209-4b50-9b73-280f000e33a8,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,COPSP,Y,Copepoda sp.,nauplii,,Arthropoda,,Maxillopoda,,,,,"",,,"",,,,Y,0.088,0.275,0.148,,45,coarse,500,500,45,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
559e2358-2d8e-472f-a054-7b561240b0ff,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,CYCSP,Y,Cyclopoida sp.,copepodites,,Arthropoda,,Maxillopoda,,,,,Cyclopoida,,,"",,,,N,0.225,0.5,0.328,,60,coarse,500,500,60,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
acfe1e40-29d9-4a65-870a-b12e5bcb5948,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,LECLIG,Y,Lecane ligona,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.112,0.112,0.112,,13,coarse,500,500,13,N,condition OK,Y,58683,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
20e2f0ae-a2a1-4e1a-bb25-631030fb4f12,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,LECSP1,Y,Lecane sp.,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.138,0.15,0.14,,25,coarse,500,500,25,N,condition OK,Y,,"",,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
2accfa27-f008-46e8-88f7-b7394d2b2601,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,MONBUL,Y,Monostyla bulla,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.112,0.112,0.112,,10,coarse,500,500,10,N,condition OK,Y,,"",,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
24742f33-3975-4194-8d44-205dd691f9d9,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.1,,,,TRISIM,Y,Trichocerca similis,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Trichocercidae,,,,N,,,,,1,coarse,500,88,6,N,"damaged, affecting measurement",Y,59079,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,lost; not measured,,legacyData,20231226T235337Z,RELEASE-2024
b63005ce-bb32-40d4-acad-58313b44ad32,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.1,,,,ALOSP1,Y,Alonella sp.,"",,Arthropoda,,Branchiopoda,,,,,Diplostraca,,,Chydoridae,,,,N,,,,,1,coarse,500,88,6,N,"damaged, affecting measurement",Y,84033,ITIS,,"Edmondson, 1949",N,EcoAnalysts Inc.,EcoAnalysts,mhill,lost; not measured,,legacyData,20231226T235337Z,RELEASE-2024
9b172366-d12f-47fc-b112-cedc3e07cbda,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.1,,,,LEPSP32,Y,Lepadella sp.,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lepadellidae,,,,N,,,,,3,coarse,500,88,17,N,"damaged, affecting measurement",Y,58488,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,lost; not measured,,legacyData,20231226T235337Z,RELEASE-2024
84d264a7-9351-4edd-9098-e707332b5f24,D03,BARC,BARC.AOS.littoral1,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.2,,,,LECLIG,Y,Lecane ligona,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,,,,,1,coarse,500,116,4,N,"damaged, affecting measurement",Y,58683,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,lost; not measured,,legacyData,20231226T235337Z,RELEASE-2024
090b306d-50d3-460c-850b-4d361c762658,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,CALSP1,Y,Calanoida sp.,copepodites,,Arthropoda,,Maxillopoda,,,,,Calanoida,,,"",,,,N,0.4,0.55,0.492,,9,coarse,500,500,9,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,6 damaged; not measured,,legacyData,20231226T235337Z,RELEASE-2024
3f4c4d81-644c-4335-9c8e-b423bfd93407,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,2015-04-13,BARC.20150218.SCHINDLER.3,,,,TROPRA1,Y,Tropocyclops prasinus mexicanus,"",,Arthropoda,,Maxillopoda,,,,,Cyclopoida,,,Cyclopidae,,,,N,0.475,0.525,0.5,,5,coarse,500,500,5,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
dec61af5-6441-48db-8845-bc72036caa4a,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,2015-04-13,BARC.20150218.TOW.1,,,,CYCSP,Y,Cyclopoida sp.,copepodites,,Arthropoda,,Maxillopoda,,,,,Cyclopoida,,,"",,,,N,0.375,0.45,0.408,,3,coarse,500,88,17,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,"",,legacyData,20231226T235337Z,RELEASE-2024
